"CUENTA_CONTABLE"|"FECHA"|"Empresa"|"Mov_Local"|"MOV_DOLAR"|"Balance_Final"|"Balance_Final_Dolar"
"1-01-01-01-01"|"2026-12-01"|cofersa|0|0|100.000|220,05
"1-01-01-01-01"|"2026-11-01"|cofersa|0|0|100.000|220,05
"1-01-01-01-01"|"2026-10-01"|cofersa|0|0|100.000|220,05
"1-01-01-01-01"|"2026-09-01"|cofersa|0|0|100.000|220,05
"1-01-01-01-01"|"2026-08-01"|cofersa|0|0|100.000|220,05
"1-01-01-01-01"|"2026-07-01"|cofersa|0|1,31|100.000|220,05
"1-01-01-01-01"|"2026-06-01"|cofersa|0|1,43|100.000|218,74
"1-01-01-01-01"|"2026-05-01"|cofersa|0|-1,53|100.000|217,31
"1-01-01-01-01"|"2026-04-01"|cofersa|-313.360|-664,69|100.000|218,84
"1-01-01-01-01"|"2026-03-01"|cofersa|0|11,92|413.360|883,53
"1-01-01-01-01"|"2026-02-01"|cofersa|-116.640|-189,73|413.360|871,61
"1-01-01-01-01"|"2026-01-01"|cofersa|-76.241,15|-147,71|530.000|1.061,34
"1-01-01-01-01"|"2025-12-01"|cofersa|0|-12,25|606.241,15|1.209,05
"1-01-01-01-01"|"2025-11-01"|cofersa|76.241,15|170,63|606.241,15|1.221,3
"1-01-01-01-01"|"2025-10-01"|cofersa|0|3,24|530.000|1.050,67
"1-01-01-01-01"|"2025-09-01"|cofersa|0|6,68|530.000|1.047,43
"1-01-01-01-01"|"2025-08-01"|cofersa|0|-1,84|530.000|1.040,75
"1-01-01-01-01"|"2025-07-01"|cofersa|0|-0,14|530.000|1.042,59
"1-01-01-01-01"|"2025-06-01"|cofersa|0|3,32|530.000|1.042,73
"1-01-01-01-01"|"2025-05-01"|cofersa|0|-3,9|530.000|1.039,41
"1-01-01-01-01"|"2025-04-01"|cofersa|0|-7,84|530.000|1.043,31
"1-01-01-01-01"|"2025-03-01"|cofersa|0|9,32|530.000|1.051,15
"1-01-01-01-01"|"2025-02-01"|cofersa|0|3,96|530.000|1.041,83
"1-01-01-01-01"|"2025-01-01"|cofersa|0|4,19|530.000|1.037,87
