"CUENTA_CONTABLE"|"FECHA"|"Empresa"|"Mov_Local"|"MOV_DOLAR"|"Balance_Final"|"Balance_Final_Dolar"
"1.1.1.01.1.003"|"2026-12-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-11-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-10-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-09-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-08-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-07-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-06-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-05-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-04-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-03-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-02-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2026-01-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-12-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-11-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-10-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-09-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-08-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-07-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-06-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-05-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-04-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-03-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-02-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2025-01-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-12-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-11-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-10-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-09-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-08-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-07-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-06-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-05-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-04-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-03-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-02-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2024-01-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-12-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-11-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-10-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-09-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-08-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-07-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-06-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-05-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-04-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-03-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-02-01"|prisma|0|0|0|0
"1.1.1.01.1.003"|"2023-01-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-12-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-11-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-10-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-09-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-08-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-07-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-06-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-05-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-04-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-03-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-02-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2026-01-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-12-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-11-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-10-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-09-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-08-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-07-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-06-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-05-01"|prisma|0|0|0|0
"1.1.1.01.6.001"|"2025-04-01"|prisma|-218.400,2345|-3.139,45|0|0
"1.1.1.01.6.001"|"2025-03-01"|prisma|16.701,874|0|218.400,2345|3.139,45
"1.1.1.01.6.001"|"2025-02-01"|prisma|-20.861,5019|-700|201.698,3605|3.139,45
"1.1.1.01.6.001"|"2025-01-01"|prisma|22.804,4133|0|222.559,8624|3.839,45
"1.1.1.01.6.001"|"2024-12-01"|prisma|16.969,2172|0|199.755,4491|3.839,45
"1.1.1.01.6.001"|"2024-11-01"|prisma|-33.831,9569|-1.250|182.786,2319|3.839,45
"1.1.1.01.6.001"|"2024-10-01"|prisma|28.773,7145|0|216.618,1888|5.089,45
"1.1.1.01.6.001"|"2024-09-01"|prisma|1.339,5433|0|187.844,4743|5.089,45
"1.1.1.01.6.001"|"2024-08-01"|prisma|165,916|0|186.504,931|5.089,45
"1.1.1.01.6.001"|"2024-07-01"|prisma|-39.862,503|-1.117|186.339,015|5.089,45
"1.1.1.01.6.001"|"2024-06-01"|prisma|88.622,5183|2.441|226.201,518|6.206,45
"1.1.1.01.6.001"|"2024-05-01"|prisma|110.425,0889|3.020|137.578,9997|3.765,45
"1.1.1.01.6.001"|"2024-04-01"|prisma|-57.255,6988|-1.580,55|27.153,9108|745,45
"1.1.1.01.6.001"|"2024-03-01"|prisma|-303.125,0608|-8.400|84.409,6096|2.326
"1.1.1.01.6.001"|"2024-02-01"|prisma|60.764,5872|1.700|387.534,6704|10.726
